"from","to","Year","trade_type","value"
"United States","Aruba",2020,"Export",309005.85
"United States","Afghanistan",2020,"Export",670888.21
"United States","Angola",2020,"Export",470520.73
"United States","Anguila",2020,"Export",47057.01
"United States","Albania",2020,"Export",56900.54
"United States","Andorra",2020,"Export",3728.58
"United States","United Arab Emirates",2020,"Export",14757886.26
"United States","Argentina",2020,"Export",5950064
"United States","Armenia",2020,"Export",28003.24
"United States","Fr. So. Ant. Tr",2020,"Export",882.04
"United States","Antigua and Barbuda",2020,"Export",312378.06
"United States","Australia",2020,"Export",23473180.22
"United States","Austria",2020,"Export",3398707.24
"United States","Azerbaijan",2020,"Export",162084.34
"United States","Burundi",2020,"Export",5405.37
"United States","Belgium",2020,"Export",27620555.33
"United States","Benin",2020,"Export",197553.55
"United States","Burkina Faso",2020,"Export",72270.41
"United States","Bangladesh",2020,"Export",1844186.7
"United States","Bulgaria",2020,"Export",374878.36
"United States","Bahrain",2020,"Export",885305.19
"United States","Bahamas, The",2020,"Export",2868345.25
"United States","Bosnia and Herzegovina",2020,"Export",21570.95
"United States","Belarus",2020,"Export",112283.79
"United States","Belize",2020,"Export",394206.91
"United States","Bermuda",2020,"Export",465081.63
"United States","Bolivia",2020,"Export",450802.31
"United States","Brazil",2020,"Export",35046878.87
"United States","Barbados",2020,"Export",516789.7
"United States","Brunei",2020,"Export",119022.27
"United States","Bhutan",2020,"Export",2857.35
"United States","Botswana",2020,"Export",48679.4
"United States","Central African Republic",2020,"Export",22329.87
"United States","Canada",2020,"Export",255021619.21
"United States","Cocos (Keeling) Islands",2020,"Export",120.4
"United States","Switzerland",2020,"Export",17975822.41
"United States","Chile",2020,"Export",12766531.69
"United States","China",2020,"Export",124648507.63
"United States","Cote d'Ivoire",2020,"Export",208067.27
"United States","Cameroon",2020,"Export",194365.39
"United States","Congo, Rep.",2020,"Export",102455.7
"United States","Cook Islands",2020,"Export",3252.37
"United States","Colombia",2020,"Export",12063010.2
"United States","Comoros",2020,"Export",1410.57
"United States","Cape Verde",2020,"Export",6670.25
"United States","Costa Rica",2020,"Export",5733234.13
"United States","Cuba",2020,"Export",176796.53
"United States","Curaçao",2020,"Export",319245.5
"United States","Christmas Island",2020,"Export",1978.19
"United States","Cayman Islands",2020,"Export",748655.43
"United States","Cyprus",2020,"Export",103120.42
"United States","Czech Republic",2020,"Export",2985010.9
"United States","Germany",2020,"Export",57163225.96
"United States","Djibouti",2020,"Export",195164.67
"United States","Dominica",2020,"Export",115129.55
"United States","Denmark",2020,"Export",3057870.74
"United States","Dominican Republic",2020,"Export",7604749.55
"United States","Algeria",2020,"Export",726286.7
"United States","East Asia & Pacific",2020,"Export",368148022.46
"United States","Europe & Central Asia",2020,"Export",330747667.99
"United States","Ecuador",2020,"Export",4234610.25
"United States","Egypt, Arab Rep.",2020,"Export",4759077.43
"United States","Eritrea",2020,"Export",18679.08
"United States","Western Sahara",2020,"Export",6824.18
"United States","Spain",2020,"Export",12869782.34
"United States","Estonia",2020,"Export",323039.03
"United States","Ethiopia(excludes Eritrea)",2020,"Export",907315.21
"United States","Finland",2020,"Export",1586264.69
"United States","Fiji",2020,"Export",39801.72
"United States","Falkland Island",2020,"Export",305.61
"United States","France",2020,"Export",28273988.24
"United States","Faeroe Islands",2020,"Export",2792.62
"United States","Micronesia, Fed. Sts.",2020,"Export",57944.87
"United States","Gabon",2020,"Export",91495.64
"United States","United Kingdom",2020,"Export",58975470.17
"United States","Georgia",2020,"Export",436093.36
"United States","Ghana",2020,"Export",831948.8
"United States","Gibraltar",2020,"Export",1069431.24
"United States","Guinea",2020,"Export",135647.94
"United States","Gambia, The",2020,"Export",41677.75
"United States","Guinea-Bissau",2020,"Export",3670.09
"United States","Equatorial Guinea",2020,"Export",96894.48
"United States","Greece",2020,"Export",1385275.66
"United States","Grenada",2020,"Export",101403.62
