Reporter Name,Partner Name,Year,Trade Flow,No Of exported HS6 digit Products,Export Share in Total Products (%),Export (US$ Thousand),Export Partner Share (%)
United States,Aruba,2020,Export,1604,35.44,309005.85,0.02
United States,Afghanistan,2020,Export,916,20.24,670888.21,0.05
United States,Angola,2020,Export,746,16.48,470520.73,0.03
United States,Anguila,2020,Export,669,14.78,47057.01,0
United States,Albania,2020,Export,260,5.74,56900.54,0
United States,Andorra,2020,Export,72,1.59,3728.58,0
United States,United Arab Emirates,2020,Export,2906,64.21,14757886.26,1.03
United States,Argentina,2020,Export,2375,52.47,5950064,0.42
United States,Armenia,2020,Export,290,6.41,28003.24,0
United States,Fr. So. Ant. Tr,2020,Export,26,0.57,882.04,0
United States,Antigua and Barbuda,2020,Export,1313,29.01,312378.06,0.02
United States,Australia,2020,Export,3456,76.36,23473180.22,1.64
United States,Austria,2020,Export,1708,37.74,3398707.24,0.24
United States,Azerbaijan,2020,Export,583,12.88,162084.34,0.01
United States,Burundi,2020,Export,64,1.41,5405.37,0
United States,Belgium,2020,Export,2705,59.77,27620555.33,1.93
United States,Benin,2020,Export,165,3.65,197553.55,0.01
United States,Burkina Faso,2020,Export,348,7.69,72270.41,0.01
United States,Bangladesh,2020,Export,959,21.19,1844186.7,0.13
United States,Bulgaria,2020,Export,891,19.69,374878.36,0.03
United States,Bahrain,2020,Export,1414,31.24,885305.19,0.06
United States,"Bahamas, The",2020,Export,2431,53.71,2868345.25,0.2
United States,Bosnia and Herzegovina,2020,Export,222,4.91,21570.95,0
United States,Belarus,2020,Export,509,11.25,112283.79,0.01
United States,Belize,2020,Export,1187,26.23,394206.91,0.03
United States,Bermuda,2020,Export,1698,37.52,465081.63,0.03
United States,Bolivia,2020,Export,1274,28.15,450802.31,0.03
United States,Brazil,2020,Export,3120,68.94,35046878.87,2.45
United States,Barbados,2020,Export,1955,43.19,516789.7,0.04
United States,Brunei,2020,Export,513,11.33,119022.27,0.01
United States,Bhutan,2020,Export,55,1.22,2857.35,0
United States,Botswana,2020,Export,190,4.2,48679.4,0
United States,Central African Republic,2020,Export,114,2.52,22329.87,0
United States,Canada,2020,Export,4374,96.64,255021619.21,17.83
United States,Cocos (Keeling) Islands,2020,Export,9,0.2,120.4,0
United States,Switzerland,2020,Export,2422,53.51,17975822.41,1.26
United States,Chile,2020,Export,3001,66.31,12766531.69,0.89
United States,China,2020,Export,3723,82.26,124648507.63,8.72
United States,Cote d'Ivoire,2020,Export,501,11.07,208067.27,0.01
United States,Cameroon,2020,Export,616,13.61,194365.39,0.01
United States,"Congo, Rep.",2020,Export,308,6.81,102455.7,0.01
United States,Cook Islands,2020,Export,50,1.1,3252.37,0
United States,Colombia,2020,Export,3104,68.58,12063010.2,0.84
United States,Comoros,2020,Export,17,0.38,1410.57,0
United States,Cape Verde,2020,Export,72,1.59,6670.25,0
United States,Costa Rica,2020,Export,2959,65.38,5733234.13,0.4
United States,Cuba,2020,Export,98,2.17,176796.53,0.01
United States,Curaçao,2020,Export,1336,29.52,319245.5,0.02
United States,Christmas Island,2020,Export,23,0.51,1978.19,0
United States,Cayman Islands,2020,Export,1975,43.64,748655.43,0.05
