country,Region,Age dependency ratio (% of working-age population),"Age dependency ratio, old (% of working-age population)","Age dependency ratio, young (% of working-age population)",Bank capital to assets ratio (%),"Computer, communications and other services (% of commercial service exports)","Computer, communications and other services (% of commercial service imports)",Consumer price index (2010 = 100),Domestic credit to private sector (% of GDP),"Employment to population ratio, 15+, female (%) (national estimate)","Employment to population ratio, 15+, male (%) (national estimate)",GDP (constant 2010 US$),GDP growth (annual %),GDP per capita (constant 2010 US$),GNI (constant 2010 US$),GNI growth (annual %),GNI per capita (constant 2010 US$),Human capital index (HCI) (scale 0-1),"Labor force, total",Population density (people per sq. km of land area),Population growth (annual %),"Population, female","Population, male","Population, total",Ratio of female to male labor force participation rate (%) (national estimate),"Total reserves (includes gold, current US$)","Unemployment, total (% of total labor force) (modeled ILO estimate)",Urban population,Women Business and the Law Index Score (scale 1-100)
Algeria,NorthernAfrica,60.06772474,10.79325049,49.27447425,,,,155.0172502,29.64468328,,,191311000000.0,-5.480991935,4362.739536,187586000000.0,-5.201185886,4277.795776,0.534556448,12231916,18.41133986,1.836533504,21697235,22153808,43851043,,59434389110.0,12.83,32332690,57.5
Argentina,SouthAmerica,55.76766101,17.70534915,38.06231185,15.45270788,66.67518287,57.56618044,,,41.02000046,59.24000168,394447000000.0,-9.905234856,8692.708046,383643000000.0,-8.546425826,8454.617014,0.602144718,19191447,16.58089261,0.970053991,23239321,22137442,45376763,,39403734630.0,11.67,41796990,76.25
Australia,Oceania,55.05194054,25.13866192,29.91327862,7.998032421,32.24393666,51.33594752,120.8116545,141.9594047,56.39,65.45,1446370000000.0,-0.284839298,56307.28068,,,,0.770239532,13452598,3.339440225,1.258698172,12895213,12791828,25687041,85.97944032,43012629265.0,6.61,22152761,96.875
Austria,WesternEurope,50.63910773,28.92873668,21.71037105,,48.87692665,56.34469268,119.6894358,94.20496405,52.73,62.54,419186000000.0,-6.590410425,47008.71043,,,,0.746739745,4572356,108.0611367,0.419000873,4521483,4395722,8917205,84.08644401,30439562425.0,5.77,5238680,96.875
Bangladesh,SouthernAsia,47.01892285,7.684684409,39.33423844,4.774469259,70.89961239,23.95677949,189.9055347,45.22395094,,,214962000000.0,2.375521656,1305.259332,,,,0.464036435,67225702,1265.186932,1.002774181,81430275,83259108,164689383,,43171735336.0,5.3,62873466,49.375
Belarus,EasternEurope,48.85504719,23.19190865,25.66313853,14.18582943,53.15730094,47.40634006,536.5426883,33.10863645,,,62765583663.0,-0.9,6677.998926,59723793650.0,-2.535654445,6354.365029,0.700078189,4909766,46.30436989,-0.201820684,5022987,4375874,9398861,,7468343228.0,5.28,7470497,75.625
Belgium,WesternEurope,56.95681092,30.22083568,26.73597524,7.062679621,62.97060183,59.26146951,117.9780019,76.7302138,46.7,55.14,512638000000.0,-6.283929951,44361.24836,,,,0.760419667,5114000,381.6379458,0.581620792,5828325,5727672,11555997,84.35630022,33296227565.0,6.01,11334006,100.0
Brazil,SouthAmerica,43.47505641,13.76252132,29.71253508,10.05550044,65.85077673,67.06808565,172.7742913,70.18797033,40.33,59.74,2268470000000.0,-4.059048273,10672.17774,2224340000000.0,-3.32608321,10464.55278,0.551497936,99843130,25.43142481,0.712872791,108123626,104435783,212559409,70.79215223,355614000000.0,13.67,185081854,85.0
Canada,NorthernAmerica,51.23928687,27.38090851,23.85837836,4.948428466,60.89481547,51.94432346,117.5944476,,53.93,62.11,1847700000000.0,-5.402798553,48617.08789,1826480000000.0,-5.302770111,48058.63293,0.797520101,20457473,4.239011376,1.089591487,19142488,18862750,38005238,86.7006555,90428136419.0,9.48,30997832,100.0
Chile,SouthAmerica,45.94574765,17.86763806,28.07810959,6.861189226,43.20980073,43.73746328,135.9309826,124.4679599,39.47,59.17,268586000000.0,-5.771501669,14050.17618,257074000000.0,-6.644135891,13447.96617,0.651604176,8860151,25.71000172,0.862530028,9690540,9425669,19116209,67.03263649,39166118109.0,11.51,16770077,80.0
China,EasternAsia,42.20722862,17.01974682,25.18748181,9.239362769,65.39381038,36.1075239,128.1094436,182.4326259,,,11785000000000.0,2.3,8405.180473,,,,0.653102636,770950792,148.7698885,0.314091093,682951049,719160951,1402112000,,3357240000000.0,5.0,861289359,75.625
Colombia,SouthAmerica,45.44213103,13.17787399,32.26425704,16.32989404,47.24808774,36.95294513,144.508836,54.08468484,40.7,66.62,367804000000.0,-6.847314206,7228.436546,360681000000.0,-6.61032264,7088.464073,0.604330301,24802460,45.86109419,1.073767493,25898320,24984564,50882884,66.2363325,58499477957.0,15.44,41431388,81.875
Denmark,NorthernEurope,57.34583486,31.72720054,25.61863432,6.634976407,35.54871095,44.30508743,110.8115347,163.8014123,54.29,62.85,372511000000.0,-2.733288945,63880.09366,383595000000.0,-2.69884409,65780.85525,0.755094826,3022416,145.7851,0.291641177,2932556,2898848,5831404,86.98599187,72823350927.0,5.66,5138400,100.0
Ecuador,SouthAmerica,53.8059722,11.67555358,42.13041862,,14.06082333,24.12422889,123.7219895,47.59480906,44.88,68.47,81657668888.0,-7.750123377,4628.31668,79278149312.0,-7.836348649,4493.446676,0.594254851,8019239,71.03825093,1.538741142,8819233,8823827,17643060,67.00332042,6569460539.0,6.23,11320846,89.375
Egypt,NorthernAfrica,64.61639042,8.776820938,55.83956948,,16.53624368,26.01920802,303.1310772,27.2632851,,,312970000000.0,3.569669475,3058.310718,303157000000.0,4.12519254,2962.419118,0.494374663,29077255,102.8021528,1.920247637,50631541,51702862,102334403,,38972812937.0,10.45,43781728,45.0
Ethiopia,EasternAfrica,76.84882718,6.254955451,70.59387173,7.15636507,,,,,,,71633249862.0,6.056617792,623.0951402,,6.055346769,,0.382784843,52799277,101.8007113,2.541386464,57446748,57516835,114963583,,3046114359.0,2.79,24941349,76.875
France,WesternEurope,62.35640565,33.69456444,28.6618412,6.181056379,59.68040368,59.41235745,110.5729469,123.7333295,46.6,54.07,2730750000000.0,-8.114907097,40520.6518,,,,0.762737215,30033626,123.076834,0.211906588,34777344,32614238,67391582,86.09080088,224236000000.0,8.62,54570334,100.0
Germany,WesternEurope,55.38336207,33.69868851,21.68467356,5.93,61.23754217,58.15614939,113.4267116,86.62223196,54.91,63.74,3751240000000.0,-4.89654545,45065.08246,3859480000000.0,-4.756769171,46365.43284,0.751162469,43382544,238.252118,0.177430344,42093236,41147289,83240525,85.42011123,268409000000.0,4.31,64472284,97.5
