Country Name,Indicator Name,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Aruba,GDP per capita (current US$),25496.8439417217,26442.4268006965,26895.0571665314,28399.0501310163,28453.715564598,29348.418968591,30253.7142345626,31135.8843563332,23384.2987907455,
Africa Eastern and Southern,GDP per capita (current US$),1777.30395005009,1748.9055935618,1736.24221958851,1556.31646949666,1446.5336241503,1629.40427287618,1541.03166126289,1511.30925874722,1360.87864476883,1557.72268174541
Afghanistan,GDP per capita (current US$),638.845851607289,624.315454506615,614.223342360392,556.007220861443,512.012778129357,516.679862210543,485.668418729808,494.179349886029,516.747870807558,
Africa Western and Central,GDP per capita (current US$),1965.11575000063,2157.4945836876,2212.91409452372,1894.32211518466,1673.84368096074,1613.4904781425,1704.13569844318,1777.85282247276,1709.76412923861,1774.92121803027
Angola,GDP per capita (current US$),4978.43443525745,5127.71724294327,5094.11232930191,3127.89059784461,1728.02375418026,2313.22058359692,2524.94248263123,2177.79901475964,1631.43169087951,2137.90939339084
Albania,GDP per capita (current US$),4247.63004748194,4413.06200528903,4578.63320812155,3952.80253807527,4124.05538986272,4531.0193737689,5287.66369446913,5396.21586434732,5332.16047456847,6494.38571288581
Andorra,GDP per capita (current US$),38684.5665299216,39538.3552064403,41302.3821426181,35770.9186530024,37474.7458403618,38964.662014361,41793.3188365378,40898.4179063904,37416.6977203275,43047.6862704034
Arab World,GDP per capita (current US$),7479.25408461195,7465.45547070586,7414.31210944321,6359.90057838383,6177.22723547981,6272.94978241754,6635.38139369641,6562.96999763297,5724.28687023385,6412.38920956596
United Arab Emirates,GDP per capita (current US$),40976.4964159714,42412.6364911519,43751.8173110723,38663.388255736,38141.8768898068,40644.7911908818,43839.3244857234,42701.4430454782,36284.5552429552,
Argentina,GDP per capita (current US$),13082.664325572,13080.2547323367,12334.7982453893,13789.060424772,12790.2424732447,14613.041824658,11795.1593866287,10076.3552409481,8585.69474249794,10729.2325777217
Armenia,GDP per capita (current US$),3681.84469060495,3838.17387997786,3986.23162376713,3607.28929855361,3591.82805221639,3914.52785436696,4220.54032079145,4604.64632355695,4266.01807420946,4670.008798001
American Samoa,GDP per capita (current US$),11496.5240977923,11450.7241954879,11525.1563872309,12059.6351646776,12038.2496994923,11003.8297642807,11521.6097798453,11715.3601388487,12844.9009909959,
Antigua and Barbuda,GDP per capita (current US$),13272.7349447294,12910.5906255945,13501.5809223367,14285.3297773091,15198.7429664112,15383.5763979856,16679.5916624545,17376.6496765004,13992.7444804497,14900.7974022154
Australia,GDP per capita (current US$),68027.8417067378,68156.6279162085,62511.6905895284,56707.0220772116,49881.7637140466,53934.2501750463,57180.7794001614,54875.2859563351,51680.3165229438,59934.1294088895
Austria,GDP per capita (current US$),48564.9173350875,50731.1272541847,51786.3771747905,44195.8175947748,45307.5878620429,47429.1584564387,51486.5755014824,50114.4011099728,48588.6593847921,53267.9327491132
Azerbaijan,GDP per capita (current US$),7496.29464768263,7875.75695254288,7891.31314749986,5500.31038244408,3880.73873089556,4147.08971569171,4739.84171028393,4805.75371765917,4229.91064904503,5384.03499804521
Burundi,GDP per capita (current US$),252.362469586451,256.97369793085,274.857836231788,305.511144099475,251.651477227529,250.514600732695,238.034309554717,223.862875707709,233.837510306669,236.795414165095
Belgium,GDP per capita (current US$),44670.5606845101,46757.9518559598,47764.0715120833,41008.296719472,42012.6227191016,44198.4823908691,47549.2080494546,46599.1113350938,45189.3669003126,51767.7885723646
Benin,GDP per capita (current US$),1145.14010479477,1251.20976745379,1291.41018480579,1076.79669785585,1087.28733148547,1136.59387178448,1241.8252980053,1219.51550596905,1291.04097215441,1428.44717671325
Burkina Faso,GDP per capita (current US$),758.000426972403,787.469438309085,792.84623742527,653.32726813947,688.250696258197,734.996267960528,804.500537821516,796.115206827676,857.932729650223,918.15258192146
Bangladesh,GDP per capita (current US$),883.117129615718,981.860851354457,1118.87380783368,1248.45330989613,1678.95323032604,1839.58337801163,1991.48326659412,2154.22681857606,2270.34753479166,2503.04388008424
Bulgaria,GDP per capita (current US$),7432.47876568071,7681.93461995882,7901.78587639382,7074.68102325059,7569.47881476759,8366.29322145748,9446.70077185518,9879.26853313318,10079.2033812203,11634.9710182244
Bahrain,GDP per capita (current US$),23654.3695877495,24744.296958551,24989.437527708,22634.0856475674,22608.4525623673,23742.9373424159,24086.3016866837,23552.3799480773,20406.5023256629,22232.3252265292
"Bahamas, The",GDP per capita (current US$),29485.8642228279,28768.7723675108,30154.7386172007,31699.3586317477,31314.844558283,32371.0081755289,33077.3918342474,33872.3343072665,24665.0968345675,28239.3667142001
Bosnia and Herzegovina,GDP per capita (current US$),4777.06691952937,5129.6635340307,5330.35507751851,4729.69005416208,4994.97162308122,5394.26913970341,6070.35298018619,6119.76235142981,6082.36673041923,6916.43831507661
Belarus,GDP per capita (current US$),6953.13251493684,7998.12523878099,8341.39967861093,5967.05220384914,5039.68188628499,5785.67067254068,6360.06247301284,6837.71782606351,6555.42681826316,7303.69626589884
Belize,GDP per capita (current US$),4530.60480052994,4575.68095648484,4744.10894523227,4805.19685237279,4877.67050593258,4909.60466379916,4927.19422373932,4983.33611435869,3987.79659612067,4420.4913723374
Bermuda,GDP per capita (current US$),98431.8651810241,99471.6388978631,98467.683993982,102005.62564189,106885.878489327,111820.581466347,113050.73688163,116153.166121638,107706.039785266,110869.463103011
Bolivia,GDP per capita (current US$),2609.88056208632,2908.200370948,3081.87882365163,3035.97165495107,3076.65643933721,3351.12434432642,3548.59078021899,3552.06814383653,3137.98961744018,3414.89284856087
Brazil,GDP per capita (current US$),12370.2232548476,12300.3867121004,12112.8349554875,8813.98980647828,8710.06328995352,9928.67589653405,9151.38173161536,8876.05983587779,6814.87563196772,7518.83428432838
Barbados,GDP per capita (current US$),16250.0123292058,16452.1527077588,16488.5257320926,16558.8647849868,16909.8865477179,17404.2074696278,17782.8747318576,18480.0565925601,16318.7481052701,17033.9371863139
Brunei Darussalam,GDP per capita (current US$),47739.5576931563,44740.8594244355,41725.8675220155,31164.0362528468,27158.4056535724,28571.608291419,31628.4762566009,31085.9619255901,27442.95382794,31722.6601371588
Bhutan,GDP per capita (current US$),2538.94951919964,2472.72475320595,2652.22565438023,2752.63017233678,2930.5749227006,3286.59674376682,3243.47743748718,3322.86332883678,3000.77798595652,
Botswana,GDP per capita (current US$),7050.57347186681,7224.91273728564,7495.22086608805,6402.91018338391,6982.91749241303,7296.09214157008,7503.8785883646,7247.42947645351,6348.83231765626,7347.55238231951
Central African Republic,GDP per capita (current US$),565.80120711394,380.29791114378,424.449131659484,377.422917680195,402.191645130502,450.900697005372,475.953813864813,468.117514792315,481.746296629034,511.484745592238
Canada,GDP per capita (current US$),52669.0899632316,52635.1749580433,50955.9983232404,43596.1355365546,42315.6037056806,45129.4292980922,46548.6384108296,46328.6718408497,43258.2638715601,52051.3514647093
Central Europe and the Baltics,GDP per capita (current US$),13020.7438173854,13718.1839991524,14164.074448906,12522.6610570363,12831.4099368112,14254.7381019007,16047.2796999215,16346.5618056396,16197.2993493424,18568.9933848981
Switzerland,GDP per capita (current US$),86547.6708907265,88109.4867524037,89684.7075795936,84776.1421659748,83073.2800824812,83352.0886533412,86388.4049527184,85334.5194620909,87100.4148213751,93457.4403976155
Channel Islands,GDP per capita (current US$),,,,,,,,,,
Chile,GDP per capita (current US$),15354.6184041413,15777.7815089667,14606.9967241905,13495.0106099649,13690.9074621215,14962.5568471791,15772.333484425,14699.4627808048,13220.5707580419,16502.8385709035
China,GDP per capita (current US$),6300.61511825789,7020.33848453658,7636.11660125502,8016.43143498003,8094.36336675194,8816.98690451989,9905.34200389253,10143.8381955595,10408.6697561349,12556.3331200058
Cote d'Ivoire,GDP per capita (current US$),1684.78158626771,1935.94684530882,2156.64588308807,1972.54568305836,2013.38144761651,2111.02655726645,2314.05095836881,2276.3323939018,2325.72370502247,2578.76041204832
Cameroon,GDP per capita (current US$),1403.52291521783,1527.75125667954,1604.21403479187,1382.5097900241,1413.2559568153,1469.44749980724,1585.24053445546,1533.09568807789,1537.13021832773,1661.70210527032
"Congo, Dem. Rep.",GDP per capita (current US$),424.60037381496,457.963747509632,486.787095119436,497.317039077365,471.318822463486,467.07423172679,565.829542895849,596.56057010511,543.950392515803,584.106409215842
